audio_id,video_id,segment_id,segment_file,transcript_file,start,end,duration,text,transcript_source,transcript_status,vad_status,quality_label,quality_score,quality_reasons,source_url,title
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000001,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000001.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000001.txt,10.26,29.39,19.13,tôi là nhà báo Kim Hạnh Tôi muốn giới thiệu với lại các bạn một cái mẫu chuyện về Nghệ An thật là khó để có thể trong 5 phút phân tích hay là phê,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000002,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000002.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000002.txt,26.14,41.09,14.95,để có thể trong 5 phút phân tích hay là phê bình hay là khen chê cho nên tôi chỉ giới thiệu với các bạn về một hiện tượng thị trường như các bạn biết là thu nhập đầu người của tỉnh Nghệ An là 50 triệu,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000003,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000003.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000003.txt,37.0,54.77,17.77,"thu nhập đầu người của tỉnh Nghệ An là 50 triệu đồng một năm có nghĩa là Đạt được khoảng 3,7 triệu đồng mỗi tháng thu nhập cho mỗi đầu người nếu mà tôi nhớ không lầm thì thu nhập cao nhất trên cả nước của",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000004,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000004.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000004.txt,50.8,64.969,14.169,"lầm thì thu nhập cao nhất trên cả nước của mình là Bình Dương Thu nhập của bình quân đầu người một tháng nhất là 7,12 triệu đồng tỉnh thành phố thứ nhì trên",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000005,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000005.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000005.txt,61.78,76.2,14.42,"7,12 triệu đồng tỉnh thành phố thứ nhì trên cả nước chắc không có ai thấy xa lạ gì là Sài Gòn thành phố Hồ Chí Minh 6,008 triệu đồng một tháng tại sao tôi",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000006,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000006.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000006.txt,67.419,87.17,19.751,"lạ gì là Sài Gòn thành phố Hồ Chí Minh 6,008 triệu đồng một tháng tại sao tôi phải nói tới không tám là vì Hà Nội bám sát theo 6 triệu không có cái phẩy không tám Hà Nội xếp thứ 3 về",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000007,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000007.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000007.txt,83.32,101.69,18.37,"cái phẩy không tám Hà Nội xếp thứ 3 về thu nhập trên cả nước và cuối cùng nhiều Gần chót là 3,7 triệu mỗi tháng là Nghệ An thưa các bạn con số thống kê của Bộ Giao thông vận tải của",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000008,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000008.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000008.txt,98.08,112.749,14.669,con số thống kê của Bộ Giao thông vận tải của cái đơn vị đăng ký xe ô tô đó là người ta tính ra mổ đồng mỗi một tháng như vậy Nghệ An có con số ô tô đăng ký mới là,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000009,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000009.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000009.txt,107.58,125.389,17.809,vậy Nghệ An có con số ô tô đăng ký mới là 2300 xe mỗi tháng và như vậy Nghệ An chỉ xếp sau 4 tỉnh thành Hà Nội Đà Nẵng Thái Nguyên và quảng ninh về cái đăng ký số,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
yt_BoY3apxcyfY,BoY3apxcyfY,yt_BoY3apxcyfY__sent000010,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000010.wav,/data/processed/segments/auto_20260624_081737/yt_BoY3apxcyfY/yt_BoY3apxcyfY__sent000010.txt,122.08,137.69,15.61,Thái Nguyên và quảng ninh về cái đăng ký số là như vậy nhưng con số tuyệt đối của Nghệ An mà mua xe đó là nhiều nhất trên cả nước trong năm 2022 Nghệ An đã đăng,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=BoY3apxcyfY,Nghệ An “nghèo nhưng sang”? Kinh tế lười biếng Trung Quốc | 5 phút Chuyện Thị Trường | Tuần #16
