audio_id,video_id,segment_id,segment_file,transcript_file,start,end,duration,text,transcript_source,transcript_status,vad_status,quality_label,quality_score,quality_reasons,source_url,title
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000001,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000001.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000001.txt,8.48,16.57,8.09,[âm nhạc],vtt,ready,aligned,needs_review,0.65,low_token_density,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000002,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000002.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000002.txt,8.28,29.029,20.749,hay [âm nhạc] bạn có biết maxtan đại văn hào Người Mỹ Không ông ấy còn là một doanh nhân nhà đầu tư mạo hiểm một người được mệnh danh là tiểu thuyết gia khôi hài nổi tiếng thế giới nhưng ông đã có một quãng thời,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000003,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000003.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000003.txt,26.44,41.709,15.269,nổi tiếng thế giới nhưng ông đã có một quãng thời gian sống vô cùng chán nản suy sụp tinh thần vì bệnh nặng trên giường ấy vậy mà khi lạc xem một quyển sách ông ấy đã phấn khích như một đứa trẻ mắc trên đọc một hơi mê mài miệt mài quên ăn quên ngủ,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000004,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000004.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000004.txt,38.5,41.709,3.209,đọc một hơi mê mài miệt mài quên ăn quên ngủ,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000005,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000005.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000005.txt,41.519,54.59,13.071,ngủ quyển sách này không phải là một kiệt tác nói đến một danh nhân nào cả mà là một cuốn tiểu thuyết viết về trải nghiệm trưởng thành của cô bé 11 tuổi an và Đó là cuốn sách mang tên An tóc đỏ dưới,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000006,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000006.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000006.txt,51.64,55.99,4.35,và Đó là cuốn sách mang tên An tóc đỏ dưới trái nhà xanh,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000007,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000007.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000007.txt,55.8,71.03,15.23,xanh An tóc đỏ mặt đầy tàn nhang cô bé ơn cha mẹ có một cuộc sống nghèo khổ túng quẫn dù số phận trớ trêu nhưng cô vẫn có thể trở thành người hạnh phúc nhất thế giới giống như một mặt trời nhỏ tự chiếu sáng,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000008,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000008.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000008.txt,68.099,78.71,10.611,giới giống như một mặt trời nhỏ tự chiếu sáng bản thân và cũng sưởi ấm cho người khác cô bé đã truyền cảm hứng tới vô số độc giả ở nhiều thế hệ sau này nếu bạn cảm,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000009,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000009.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000009.txt,75.52,85.87,10.35,số độc giả ở nhiều thế hệ sau này nếu bạn cảm thấy cuộc sống quá buồn chán thì hãy tìm đọc cuốn sách này để biết rằng bạn đang tẻ nhạt là đều có nguyên do của nó,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000010,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000010.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000010.txt,85.68,92.39,6.71,nó Một nhà văn nói rằng đôi khi con người có thể vô tri nhưng không thể vô vị có,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
yt_MsihyTqbV78,MsihyTqbV78,yt_MsihyTqbV78__sent000011,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000011.wav,/data/processed/segments/auto_20260624_095757/yt_MsihyTqbV78/yt_MsihyTqbV78__sent000011.txt,88.72,102.249,13.529,con người có thể vô tri nhưng không thể vô vị có thể nói điều quan trọng nhất trong cuộc sống của một người là cần sống thú vị sống một cuộc đời buồn chán như một màu của sa mạc suốt mấy chục năm để làm gì,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=MsihyTqbV78,Một tâm hồn thú vị có thể chữa lành tất cả | Sách Anne Tóc Đỏ Dưới Chái Nhà Xanh
