audio_id,video_id,segment_id,segment_file,transcript_file,start,end,duration,text,transcript_source,transcript_status,vad_status,quality_label,quality_score,quality_reasons,source_url,title
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000001,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000001.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000001.txt,26.32,39.79,13.47,"Thưa quý vị, sáng nay tại trụ sở tỉnh ủy, Ban thường vụ tỉnh ủy Khánh Hòa tổ chức hội nghị công bố quyết định của ban bí thư về công tác cán bộ. tham gia hội nghị về phía trung ương có đồng chí Bùi Thị Quỳnh Vân ủy viên Trung ương Đảng Phó trưởng ban tổ chức trung ương đồng",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000002,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000002.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000002.txt,37.64,51.43,13.79,"Đảng Phó trưởng ban tổ chức trung ương đồng chí Nghiêm Xuân Thành ủy viên Trung ương Đảng Phó Chủ nhiệm Ủy ban Kiểm tra Trung ương nguyên Bí thư Tỉnh ủy Khánh Hòa, đồng chí Nguyễn Văn Sinh Thứ trưởng Bộ Xây dựng đồng chí Nguyễn Việt Hùng Thứ trưởng Bộ Xây dựng cùng lãnh đạo các cơ",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000003,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000003.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000003.txt,49.28,63.15,13.87,Hùng Thứ trưởng Bộ Xây dựng cùng lãnh đạo các cơ quan trung ương theo dõi địa bàn về phía tỉnh Kính Hòa có đồng chí Trần Phong ủy viên Trung ương Đảng Phó Bí thư tỉnh ủy Chủ tịch ủy ban nhân dân tỉnh đồng chí Hồ Xuân Trường ủy viên dự quý Trung ương Đảng Phó Bí thư Thường trực Tỉnh ủy,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000004,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000004.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000004.txt,60.839,75.429,14.59,"Trung ương Đảng Phó Bí thư Thường trực Tỉnh ủy Đồng chí Lâm Đông, Phó Bí thư tỉnh ủy, Chủ tịch Hội đồng nhân dân tỉnh đồng chí Khắc Hà, phó bí thư tỉnh ủy, chủ tịch ủy ban mặt trận tổ quốc Việt Nam tỉnh. Tham gia hội nghị có các đồng chí ủy viên ban thự vụ tỉnh ủy, ủy viên ban chấp hành",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000005,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000005.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000005.txt,73.12,78.23,5.11,"viên ban thự vụ tỉnh ủy, ủy viên ban chấp hành đảng bộ tỉnh.",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000006,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000006.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000006.txt,75.239,91.91,16.671,chấp hành đảng bộ tỉnh. Phát biểu t hội nghị đồng chí Bùi Thị Quỳnh Vân ủy viên Trung ương Đảng Phó trưởng ban tổ chức trung ương cho biết xuất phát từ yêu cầu nhiệm vụ và tình hình thực tiễn về xây dựng đội ngũ cán bộ chính trị đã đồng ý cho đồng chí Nghiêm Xuân Thành ủy viên Trung ương Đảng Bí thư tỉnh ủy Khánh Hòa thôi tham,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000007,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000007.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000007.txt,89.8,102.83,13.03,Trung ương Đảng Bí thư tỉnh ủy Khánh Hòa thôi tham gia ban chấp hành Ban thự vụ tỉnh ủy Khánh Hòa nhiệm kỳ 2025-2030 và thôi giữ chức Bí thư tỉnh ủy Khánh Hòa đồng thời điều động phân công giới thiệu để bầu tham gia ủy ban kiểm tra,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000008,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000008.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000008.txt,100.599,114.91,14.311,"giới thiệu để bầu tham gia ủy ban kiểm tra trung ương và bầu giữ chức phó chủ nhiệm ủy ban kiểm tra trung Ngày 25 tháng vừa qua, tội nghị ban chấp hành trung ương đảng lần thứ hai, đồng chí Ngh đã được bầu vào ủy ban kiểm tra trung ương và được Ủy ban kiểm tra trung",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000009,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000009.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000009.txt,112.8,127.27,14.47,"tra trung ương và được Ủy ban kiểm tra trung ương bầu giữ chức phó chủ nhiệm ủy ban kiểm tra trung ương. Tại hội nghị, đại diện Ban tổ chức trung ương đã công bố quyết định của Ban Bí thư điều động đồng chí Nguyễn Việt Hùng, ủy viên Ban Thường vụ Đảng ủy, Thếu trưởng Bộ Xây dựng thôi",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
yt_qzZihCun2ic,qzZihCun2ic,yt_qzZihCun2ic__sent000010,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000010.wav,/data/processed/segments/auto_20260624_082039/yt_qzZihCun2ic/yt_qzZihCun2ic__sent000010.txt,124.76,140.63,15.87,"Ban Thường vụ Đảng ủy, Thếu trưởng Bộ Xây dựng thôi tham gia ban chấp hành Ban thường vụ Đảng ủy Bộ Xây dựng nhiệm kỳ 2025-230 và thôi dự chức Thứ trưởng Bộ Xây dựng. Đồng thời điều động chỉ định đồng chí Nguyễn Việt Hùng tham gia ban chấp hành đảng bộ tỉnh, ban thự vụ tỉnh ủy và giữ",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=qzZihCun2ic,Đồng chí Trần Phong được bầu giữ chức Bí thư Tỉnh ủy Khánh Hòa | Thời sự trưa 27.3.2026
