audio_id,video_id,segment_id,segment_file,transcript_file,start,end,duration,text,transcript_source,transcript_status,vad_status,quality_label,quality_score,quality_reasons,source_url,title
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000001,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000001.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000001.txt,9.8,27.07,17.27,"trung tâm lửa đảo ở Myanmar. 40 người đuối nước trong đợt nắng nóng tại Pháp. Sở thú Trung Quốc tuyển người đóng giả gấu. Tại Việt Nam, hỏa hoạn thiêu dụi gần [âm nhạc] 3 ha giường sản xuất ở Ninh Bình, Hà Nội và nhiều tỉnh miền Trung bỏng rát, nhiệt độ cao nhất từ đầu hè.",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000002,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000002.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000002.txt,24.04,37.709,13.669,"Trung bỏng rát, nhiệt độ cao nhất từ đầu hè. phát hiện hơn [âm nhạc] 450 thiết bị xâm nhập trái phép tại sân bay Đà Nẵng. Đề xuất bổ sung tội danh, hành vi mới vào bộ luật hình sự, ngày càng nhiều người trẻ bị hoại tử trỏm xương đùi vì rượu",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000003,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000003.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000003.txt,35.359,49.51,14.151,"nhiều người trẻ bị hoại tử trỏm xương đùi vì rượu bia, thuốc lá. Chào mừng quý vị đến với chương trình trưa nay ngày 24 tháng 6. Khỏe tự nhiên xin gửi tới quý vị lời chúc buổi trưa an",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000004,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000004.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000004.txt,47.519,60.709,13.19,"tự nhiên xin gửi tới quý vị lời chúc buổi trưa an lành và mạnh khỏe. Hãy cùng nhau bắt đầu từ khu vực Đông Á, nơi eo biển Đài Loan tiếp tục là một điểm nóng được theo dõi sát. Tàu sân bay hiện đại nhất của Trung Quốc tới gần Đài Loan. Đài Bắc cho biết",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000005,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000005.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000005.txt,58.12,72.71,14.59,"Trung Quốc tới gần Đài Loan. Đài Bắc cho biết tàu sân bay Phúc Kiến, con tàu mới và hiện đại nhất của Trung Quốc đã di chuyển qua eo biển Đài Loan vào ngày 23 tháng 6. Đây là một vùng biển nhạy cảm, nơi chỉ một động thái quân sự lớn cũng có thể gửi đi nhiều thông điệp khác",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000006,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000006.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000006.txt,70.84,85.749,14.909,"lớn cũng có thể gửi đi nhiều thông điệp khác nhau. Thông điệp về năng lực, về ý chí và cả về cách một cường quốc muốn định hình phạm vi ảnh hưởng của mình. Thưa quý vị, một tàu sân bay không chỉ đơn thuần là một phương tiện quân sự. Tàu sân bay là biểu tượng của khả năng",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000007,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000007.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000007.txt,83.599,96.87,13.271,"sự. Tàu sân bay là biểu tượng của khả năng đưa sức mạnh ra xa bờ, bảo vệ tuyến vận tải, tạo sức ép ngoại giao và buộc các bên liên quan phải tính toán lại. Với Trung Quốc, việc đưa tàu phúc kiến của eo biển Đài Loan không chỉ là một hoạt",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000008,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000008.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000008.txt,94.76,109.19,14.43,"kiến của eo biển Đài Loan không chỉ là một hoạt động hàng hải, đó còn là cách khẳng định sự hiện diện thường xuyên hơn quanh một khu vực Bắc Kinh coi là lợi ích cốt lõi. Câu chuyện eo biển Đài Loan không chỉ liên quan đến chính trị, quốc đảo này giữ vai trò quan trọng trong chuỗi cung",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000009,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000009.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000009.txt,107.239,121.429,14.19,"đảo này giữ vai trò quan trọng trong chuỗi cung ứng chip và công nghệ toàn cầu. Nếu khu vực này bất ổn thì tác động có thể lan tới giá thiết bị điện tử, sản xuất công nghiệp, thị trường chứng khoán và cả việc làm ở nhiều nước khác. Một chiếc tàu chiến đi qua eo biển có thể là",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
yt_32AubVzi1eQ,32AubVzi1eQ,yt_32AubVzi1eQ__sent000010,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000010.wav,/data/processed/segments/auto_20260624_081423/yt_32AubVzi1eQ/yt_32AubVzi1eQ__sent000010.txt,119.519,132.63,13.111,"Một chiếc tàu chiến đi qua eo biển có thể là chuyện của quân đội nhưng hệ quả của nó có thể đi rất xa vào đời sống kinh tế. Tiếp theo là thông tin Triều Tiên muốn xây 10 tàu chiến 5000 tấn. Vâng, kính",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=32AubVzi1eQ,TRƯA 24/6: Hà Nội và miền Trung nhiệt độ cao nhất từ đầu hè; Sở thú Trung Quốc tuyển người giả gấu
