audio_id,video_id,segment_id,segment_file,transcript_file,start,end,duration,text,transcript_source,transcript_status,vad_status,quality_label,quality_score,quality_reasons,source_url,title
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000001,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000001.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000001.txt,10.36,25.509,15.149,"chiều đã xảy ra, gây nhiều thiệt hại cho nhà đầu tư. Những người mua vàng ở vùng đỉnh đã bị lỗ gần 60 triệu đồng và gần đây, sau khi tăng trở lại tiến sát 152 triệu đồng trên lượng, giá vàng lại nhanh chóng quay đầu giảm. Hiện giá vàng",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000002,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000002.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000002.txt,22.919,33.15,10.231,"lại nhanh chóng quay đầu giảm. Hiện giá vàng DOJ được niêm yết 148 triệu đồng trên lượng. AGC niêm yết 147,8 triệu đồng trên lượng.",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000003,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000003.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000003.txt,32.96,46.91,13.95,lượng. >> Trong thời điểm này thì họ không ủ hạt mua những cái thời điểm giá vạn lên nữa mà nó cầm chừng hơn giữa mua giữa bán thì nó cũng cân bằng hơn. Mà để mua hàng múa vàng để mà đầu cớ thì gần như biển,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000004,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000004.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000004.txt,44.039,51.069,7.03,hàng múa vàng để mà đầu cớ thì gần như biển động thế này họng thì người đầu cơ cũng giảm nữa.,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000005,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000005.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000005.txt,48.44,63.43,14.99,"cũng giảm nữa. >> Hiện chưa thể xác định chính xác đâu là vùng đáy của giá vàng nhưng thực tế mỗi biến động của thị trường đều tác động mạnh đến tâm lý nhà đầu tư. Khi giá tăng, nhiều người tranh thủ mua vào với kỳ vọng tiếp tục sinh lời. Ngược lại,",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000006,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000006.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000006.txt,60.839,75.109,14.27,"vào với kỳ vọng tiếp tục sinh lời. Ngược lại, khi giá giảm sâu, không ít người lo ngại về nguy cơ thua lỗ. Trong bối cảnh hiện nay, tâm lý người dân cũng có nhiều thay đổi. Trong khi một số người xem vàng là kênh tích lũy, tài sản an toàn thì không",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000007,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000007.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000007.txt,72.48,81.39,8.91,"vàng là kênh tích lũy, tài sản an toàn thì không ít người chọn đứng ngoài quan sát để chờ tín hiệu rõ ràng hơn từ thị trường.",vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000008,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000008.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000008.txt,77.2,94.51,17.31,chờ tín hiệu rõ ràng hơn từ thị trường. >> Tôi thì tôi chỉ là tiết kiệm theo thời gian tôi mua một chỉ vàng hoặc vài chỉ vàng để cất. Nhưng mà với những cái người mà người ta đầu tư về vàng thì tôi nghĩ là người ta cũng rất là lo lắng bởi vì trong một thời gian rất là ngắn mà,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000009,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000009.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000009.txt,92.36,107.63,15.27,bởi vì trong một thời gian rất là ngắn mà giá vàng chênh nhau đến mấy triệu đồng. >> Tôi thấy hiện nay thì giá vàng biến động rất là mạnh và ở chưa có cái mức ổn định cho nên tôi cũng đi nghe ngóng và tìm hiểu thị trường. Và nếu như mà giá vàng,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000010,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000010.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000010.txt,103.76,117.95,14.19,tìm hiểu thị trường. Và nếu như mà giá vàng nó ổn định á thì tôi sẽ có một cái khoản đầu tư nhỏ ở cái lĩnh vực này. Tuy nhiên thì kênh đầu tư vàng thì nó cũng không phải,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
yt_EHIE0AUNLNw,EHIE0AUNLNw,yt_EHIE0AUNLNw__sent000011,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000011.wav,/data/processed/segments/batch_001/yt_EHIE0AUNLNw/yt_EHIE0AUNLNw__sent000011.txt,116.04,120.709,4.669,thì kênh đầu tư vàng thì nó cũng không phải là một kênh đầu tư duy nhất.,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=EHIE0AUNLNw,Thị trường vàng biến động khó lường
