audio_id,video_id,segment_id,segment_file,transcript_file,start,end,duration,text,transcript_source,transcript_status,vad_status,quality_label,quality_score,quality_reasons,source_url,title
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000001,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000001.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000001.txt,51.12,67.39,16.27,cùng khám phá về dòng sông vu gia một trong hai con sông lớn ở Quảng Nam đóng vai trò rất quan trọng trong phát triển kinh tế xã hội và văn hóa của cả Xứ Quảng vì ở đó vừa là huyết mạch giao thông vừa là nguồn Phù Sa vô tận bồi đắp nên những vùng đất trừu Phú con sông vừa,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000002,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000002.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000002.txt,64.319,78.03,13.711,bồi đắp nên những vùng đất trừu Phú con sông vừa là Chấn nhân lịch sử vừa ôm ấp trong mình những biến thiên của thời cuộc sẽ kể cho chúng ta nghe những câu chuyện của chính mình và những vùng đất mà Dòng Sông Đã Đi,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000003,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000003.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000003.txt,76.16,78.03,1.87,Dòng Sông Đã Đi,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000004,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000004.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000004.txt,77.84,87.23,9.39,Đi Qua những tài liệu mà chúng tôi tìm hiểu sông vu gia được bắt nguồn từ hai con sông lớn là Sông Bung và sông cái,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000005,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000005.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000005.txt,87.04,99.19,12.15,cái Sông Bung và phụ lưu của nó là Khởi Nguyên từ biên giới Việt Lào trảy qua các huyện Tây Giang Đông Giang Nam Giang Sông Cái được hình thành từ hai,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000006,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000006.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000006.txt,95.919,109.149,13.23,Nam Giang Sông Cái được hình thành từ hai con sông chính là Sông Đắc Mi ở Phước Sơn và sông Thanh ở Nam Giang Phát Nguyên từ giải ngọc linh thuộc tỉnh con,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000007,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000007.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000007.txt,108.959,124.069,15.11,con tùm Sau khi thảo luận với những người tài xế đã có thâm niên đi lại trên các tuyến đường ở miền núi Quảng Nam chúng tôi quyết định chọn Tây Giang là điểm đến đầu tiên cho cuộc hành trình của [âm nhạc],vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000008,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000008.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000008.txt,121.76,143.71,21.95,của [âm nhạc] mình 4 gi sáng từ trụ sở Đài pháp thanh truyền hình Quảng Nam chúng tôi bắt đầu cuộc hành trình Về với miền Tây xứ [âm nhạc],vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000009,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000009.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000009.txt,132.45,146.8,14.35,xứ [âm nhạc] Quảng khi trời hần sáng cũng là lúc,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
yt_RPWjwL-Vl1Y,RPWjwL-Vl1Y,yt_RPWjwL-Vl1Y__sent000010,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000010.wav,/data/processed/segments/auto_20260624_102551/yt_RPWjwL-Vl1Y/yt_RPWjwL-Vl1Y__sent000010.txt,132.45,152.309,19.859,xứ [âm nhạc] Quảng khi trời hần sáng cũng là lúc chúng tôi có mặt tại trung tâm huyện Tây Giang,vtt,ready,aligned,speech_clean,1.0,,https://www.youtube.com/watch?v=RPWjwL-Vl1Y,KÝ SỰ TRUYỀN HÌNH || NHỮNG DÒNG SÔNG XỨ QUẢNG || QRT - Tập 5: Khởi nguồn Vu Gia
